Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Chucky Atkins,,5.1,4.9,4.5,3.6,2.8,2.7,2.4,1.5,0.3,0.2,-0.2
Lucious Harris,90.3,5.1,4.7,4.1,3.1,2.8,2.5,2.1,1.1,0.8,0.6,0.4
Allen Leavell,90.2,5.1,4.8,4.3,4,3.8,3,2.4,1.9,0.6,-0.1,NA
Larry Steele,89.7,5.7,5.2,4.8,3.6,3,2,1.9,1.6,0.5,NA,NA
Ricky Davis,89.5,5.7,5,4.4,4.2,3,2.8,1.9,1.1,0.2,0.2,-0.4
Tyreke Evans,89.3,5.4,4.6,4.4,4.2,3.1,2.7,1.6,1.4,0.7,0.3,NA
Matt Guokas,89.0,5.2,4.7,4.3,4.2,2.5,2.3,1.5,1.2,0.5,0.3,NA
Ricky Sobers,88.2,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1,0.1
Jim Jackson,88.1,5.4,4.9,4.4,2.8,2.8,2.5,2.5,2.5,0.6,0.1,-1.6
Hubert Davis,87.2,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.5,0.1
Rodney Stuckey,86.9,5,4.5,4,3.8,2.7,2.5,2.2,2,2,-0.1,NA
