,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1970-71,22,BUF,NBA,,8,,6,9,,,,,,,,17
1971-72,23,BUF,NBA,,9,,4,5,,,,,,,,18
1972-73,24,TOT,NBA,,7,,6,7,,,,,,,,16
1972-73,24,BUF,NBA,,5,,1,2,,,,,,,,10
1972-73,24,CLE,NBA,,7,14,6,7,,,20,4,,,6,16
1973-74,25,TOT,NBA,,9,,8,8,,,,,,,,21
1973-74,25,CLE,NBA,,1,7,4,4,3,5,6,2,0,,2,4
1973-74,25,MIL,NBA,,9,,8,8,,,,,,,,21
1974-75,26,MIL,NBA,,9,,6,8,,,,,,,,19
1975-76,27,LAL,NBA,,12,,8,12,,,,,,,,24
1976-77,28,LAL,NBA,,5,10,2,2,,,16,5,,,4,10
Career,,,,,12,,8,12,,,,,,,,24
2 Seasons,,MIL,NBA,,9,,8,8,,,,,,,,21
3 Seasons,,BUF,NBA,,9,,6,9,,,,,,,,18
2 Seasons,,LAL,NBA,,12,,8,12,,,,,,,,24
2 Seasons,,CLE,NBA,,7,14,6,7,,,20,4,,,6,16
