Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Cornell Warner,,4.7,4.3,3.5,1.7,0.6,0.6,0.3
Bob Harris,89.5,5,4.3,3.4,1.9,1,NA,NA
Fred Hetzel,87.2,5.1,4.5,2.9,2,0.9,0.5,NA
Leo Barnhorst,85.8,4.7,4.6,3.6,1.3,NA,NA,NA
Luc Mbah a Moute,85.8,4.8,4.7,4,2.4,1.1,1,0.5
Danny Fortson,85.5,4.5,4.4,3.5,2.3,1.9,1.1,0.2
Kwame Brown,84.7,4.9,3.6,2.5,1.9,0.8,0.6,0.6
Ed Conlin,84.5,4.7,4.3,2,2,0.7,0.5,-0.1
Larry McNeill,84.0,4.4,4.3,2.3,1.5,0.7,0.1,NA
Chuck Gilmur,83.7,4.6,4.5,4.3,1.7,-0.1,NA,NA
Jim Petersen,83.7,4.7,3.4,2.9,1,0.6,0.4,0.3
