Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Cornell Warner,,4.7,4.3,3.5,1.7,0.6,0.6,0.3,NA,NA,NA
Bob Harris,89.5,5,4.3,3.4,1.9,1,NA,NA,NA,NA,NA
Fred Hetzel,87.2,5.1,4.5,2.9,2,0.9,0.5,NA,NA,NA,NA
Leo Barnhorst,85.8,4.7,4.6,3.6,1.3,NA,NA,NA,NA,NA,NA
Ed Conlin,84.5,4.7,4.3,2,2,0.7,0.5,-0.1,NA,NA,NA
Larry McNeill,84.0,4.4,4.3,2.3,1.5,0.7,0.1,NA,NA,NA,NA
Chuck Gilmur,83.7,4.6,4.5,4.3,1.7,-0.1,NA,NA,NA,NA,NA
Lionel Simmons,82.9,4.3,3.8,3.8,2.7,1.1,0.9,0.3,NA,NA,NA
Jim Petersen,82.4,4.7,3.4,2.9,1,0.6,0.4,0.3,0.3,NA,NA
Jarron Collins,82.1,4.2,3.9,3.3,1.3,1.1,1,0.7,0.2,0.1,-0.1
Paul Griffin,80.5,4.9,4.4,4.1,2.9,1.6,1.4,0.4,NA,NA,NA
