Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,25,TOT,NBA,C,72,NA,1405,5.6,11.3,0.499,2.8,3.7,0.746,3.4,9.4,12.9,2.3,0.9,1.4,6.6,14,NA,NA,93
1973-74,25,CLE,NBA,C,5,NA,49,1.9,12.2,0.154,3.8,3.8,1,4.7,11.3,16,3.8,0,1.9,6.6,7.5,NA,NA,98
1973-74,25,MIL,NBA,C,67,NA,1356,5.8,11.3,0.512,2.7,3.7,0.736,3.4,9.4,12.8,2.3,0.9,1.3,6.6,14.3,NA,NA,93
1974-75,26,MIL,NBA,PF,79,NA,2519,4.6,10.1,0.458,2,2.9,0.684,4.4,10.7,15.2,2.4,0.9,1,5,11.2,NA,NA,96
1975-76,27,LAL,NBA,PF,81,NA,2512,4.4,9.3,0.479,1.6,2.3,0.695,3.9,8.8,12.8,1.9,1,0.8,5,10.5,NA,NA,98
1976-77,28,LAL,NBA,PF,14,NA,170,6.7,14.3,0.472,1.1,1.6,0.667,5.7,12.9,18.6,3,0.3,0.5,7.6,14.6,NA,NA,97
Career,NA,,NBA,,246,NA,6606,4.8,10.1,0.476,2,2.8,0.705,4.1,9.8,13.8,2.2,0.9,1,5.4,11.6,NA,NA,96
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,MIL,NBA,,146,NA,3875,5,10.5,0.479,2.2,3.2,0.706,4.1,10.2,14.3,2.3,0.9,1.1,5.6,12.3,NA,NA,95
2 seasons,NA,LAL,NBA,,95,NA,2682,4.6,9.6,0.478,1.5,2.2,0.694,4.1,9.1,13.1,1.9,0.9,0.8,5.2,10.7,NA,NA,98
1 season,NA,CLE,NBA,,5,NA,49,1.9,12.2,0.154,3.8,3.8,1,4.7,11.3,16,3.8,0,1.9,6.6,7.5,NA,NA,98
