Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Doug Collins,,10,7.7,7.6,6.2,4.2,1.9,0.7,-0.3,NA,NA
Phil Chenier,86.7,8.8,8.8,7.4,5.8,5.5,1.8,1.4,0,0,-0.1
Ray Williams,86.2,8.2,7.9,7.2,6.2,3.9,1,1,0.9,0.4,0.4
Reggie Lewis,82.8,9.1,8.3,7.5,6.9,6.7,0.4,NA,NA,NA,NA
Glen Combs,81.0,8.7,8.6,6.7,5.1,2.7,2.5,0,NA,NA,NA
Micheal Ray Richardson,80.4,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA,NA
John Wall,80.3,8.8,7.9,7.8,5.7,4.5,3.5,2.7,2.2,1.2,NA
Isaiah Thomas,80.0,12.5,9.7,7.7,6.1,5,4.3,0.2,-0.3,NA,NA
Bradley Beal,79.7,8.5,7.6,6.9,4,3.7,3,2.7,NA,NA,NA
George Thompson,78.4,7.7,6.7,6.5,5.6,2.7,1.8,NA,NA,NA,NA
Kemba Walker,78.4,9.9,8.6,8.1,7.4,5.1,4.8,4.5,0.3,NA,NA
