Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Doug Collins,,10,7.7,7.6,6.2,4.2,1.9,0.7,-0.3
Ray Williams,88.5,8.2,7.9,7.2,6.2,3.9,1,0.9,0.4
Darrell Armstrong,88.2,8.7,8,7.6,6.4,2.5,1.8,0.1,0.1
Jon McGlocklin,88.2,8.9,8.2,7.9,5.8,5.2,1.8,1.1,0.9
Ricky Pierce,87.4,9.4,8.3,6.7,5.8,3,2.2,1.8,-0.1
Dick Snyder,87.3,10,8,6.2,6,4.1,3.7,1.8,0.6
Phil Chenier,87.2,8.8,8.8,7.4,5.8,5.5,1.8,1.4,-0.1
Jerry Stackhouse,85.9,9.2,7.3,6.5,5.8,4.7,2.1,1.9,1.2
Sleepy Floyd,85.0,10,7.7,7.5,6.3,4.4,4.4,3.1,2.2
Goran Dragić,83.9,10.3,6.8,5.7,5.1,4.7,2.8,1,0.1
Brent Barry,83.2,12.1,7.5,7.3,5.8,4.9,2.7,2.1,1.6
