Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Shandon Anderson,,4.9,4.2,3.9,2.7,2.1,2,1.7,1.2,0.5,0.4,NA,NA,NA,NA
Charlie Villanueva,90.2,4.9,3.9,3.5,3.1,1.7,1.7,1.6,1.4,0.4,0.2,0.1,NA,NA,NA
Pat Cummings,88.3,4.2,4,3.3,2.7,2.5,1.8,1.5,1.1,0.6,0.6,0.1,0.1,NA,NA
Allan Bristow,87.9,4.4,4.3,3.5,2.8,2.7,2.5,1.9,1.9,0.5,0.2,NA,NA,NA,NA
Luc Mbah a Moute,87.9,4.8,4.7,4,3.1,2.8,2.4,1.6,1.1,1,0.5,0,NA,NA,NA
Kwame Brown,87.3,4.9,3.6,3.5,2.5,1.9,1.9,0.8,0.6,0.6,0.4,0.1,-0.1,NA,NA
James Jones,87.3,4.7,4,3.7,2.5,2.2,1.7,1.5,1.2,1,0.9,0.8,0.7,0.2,0
Stromile Swift,86.0,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1,-0.1,NA,NA,NA,NA,NA
Nate Williams,86.0,4.5,4.3,4,2.9,2.8,2.5,1.9,0.4,NA,NA,NA,NA,NA,NA
Lamond Murray,85.3,4.9,4.1,3.3,2.3,2.1,1.3,1.2,0.9,0.3,-0.3,-0.3,NA,NA,NA
James Johnson,84.5,5.1,5,4.1,3,2.6,1.5,1.3,0.8,0.6,-0.5,NA,NA,NA,NA
