Season,Team,Lg,Salary
1996-97,Utah Jazz,NBA,"$220,000"
1997-98,Utah Jazz,NBA,"$1,200,000"
1998-99,Utah Jazz,NBA,"$1,300,000"
1999-00,Houston Rockets,NBA,"$2,000,000"
2000-01,Houston Rockets,NBA,"$2,200,000"
2001-02,New York Knicks,NBA,"$5,500,000"
2002-03,New York Knicks,NBA,"$6,100,000"
2003-04,New York Knicks,NBA,"$6,700,000"
2004-05,New York Knicks,NBA,"$7,300,000"
2004-05,Miami Heat,NBA,"$873,699"
2005-06,New York Knicks,NBA,"$7,900,000"
2005-06,Miami Heat,NBA,"$1,035,000"
2006-07,New York Knicks,NBA,"$7,244,726"
Career,(may be incomplete),,"$49,573,425"
