Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Alvin Robertson,,8.6,7.7,7.5,5.8,5.3,4.4,3.6,3.4,3.1,2.8
Joe Johnson,93.3,8.4,7.6,7.6,7,6,5.1,4.2,3.3,3,2.8
Randy Smith,91.6,9.4,7.9,7.2,6.4,5.8,5.7,4.2,3.3,3,2.2
Cuttino Mobley,91.0,8.2,7.6,6.9,5.7,5.3,5.2,4.6,4.4,2.3,2.1
Wesley Matthews,90.4,8.2,7.2,6.2,4.8,4.7,4.6,3.7,3.1,2.7,2.6
Sleepy Floyd,90.0,10,7.7,7.5,6.3,4.4,4.4,3.7,3.1,2.2,0.9
Brian Taylor,89.7,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1
Andy Phillip,89.4,9.7,7.7,7.4,7.1,5.5,4.8,3.8,3.1,2.9,NA
Vern Fleming,89.3,8.4,7,6.9,6.7,5.6,4.4,3.3,2.9,2,1.4
Darren Collison,89.1,7.6,6.8,5.9,5.6,5.2,4.3,3.9,3.8,3.8,2.9
Michael Adams,88.6,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,-0.1
