,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1984-85,22,SAS,NBA,,13,18,1,2,13,18,8,10,7,7,10,14,7,3,5,6,27,31.2
1985-86,23,SAS,NBA,,15,22,2,3,15,22,14,15,8,12,15,14,10,4,7,6,41,38.0
1986-87,24,SAS,NBA,,15,26,1,3,15,25,10,13,8,7,14,12,10,2,8,6,34,38.5
1987-88,25,SAS,NBA,,17,29,3,5,16,27,11,12,7,11,14,12,8,5,8,6,40,35.5
1988-89,26,SAS,NBA,,15,23,2,4,15,23,8,12,7,9,11,14,10,4,8,6,34,36.3
1989-90,27,MIL,NBA,,15,24,1,5,15,24,8,14,8,11,16,17,7,3,7,6,37,39.4
1990-91,28,MIL,NBA,,12,22,3,5,12,20,14,14,10,13,16,15,10,1,7,6,31,32.6
1991-92,29,MIL,NBA,,11,24,4,6,9,19,9,9,9,8,11,12,6,2,7,6,30,29.2
1992-93,30,TOT,NBA,,9,15,4,6,9,13,11,12,5,9,10,11,7,2,6,6,26,24.8
1992-93,30,MIL,NBA,,9,15,3,6,9,13,6,8,5,9,10,11,7,2,6,5,20,24.8
1992-93,30,DET,NBA,,7,15,4,5,6,12,11,12,4,7,10,8,5,2,4,6,26,24.7
1995-96,33,TOR,NBA,,13,19,4,7,13,17,9,9,5,10,13,10,7,4,7,6,30,28.0
Career,,,,,17,29,4,7,16,27,14,15,10,13,16,17,10,5,8,6,41,39.4
5 Seasons,,SAS,NBA,,17,29,3,5,16,27,14,15,8,12,15,14,10,5,8,6,41,38.5
4 Seasons,,MIL,NBA,,15,24,4,6,15,24,14,14,10,13,16,17,10,3,7,6,37,39.4
1 Season,,TOR,NBA,,13,19,4,7,13,17,9,9,5,10,13,10,7,4,7,6,30,28.0
1 Season,,DET,NBA,,7,15,4,5,6,12,11,12,4,7,10,8,5,2,4,6,26,24.7
