,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1965-66,22,STL,NBA,,9,,7,11,,,,,,,,20
1966-67,23,CHI,NBA,,9,19,8,11,,,24,5,,,6,24
1967-68,24,CHI,NBA,,14,,9,11,,,,,,,,29
1968-69,25,CHI,NBA,,13,26,10,13,,,27,4,,,5,30
1969-70,26,PHI,NBA,,11,19,16,20,,,21,5,,,6,34
1970-71,27,PHI,NBA,,13,,11,13,,,,,,,,28
1971-72,28,TOT,NBA,,11,,12,14,,,,,,,,28
1971-72,28,PHI,NBA,,8,,8,10,,,,,,,,20
1971-72,28,ATL,NBA,,11,,12,14,,,,,,,,28
1972-73,29,ATL,NBA,,10,,7,12,,,,,,,,22
1973-74,30,ATL,NBA,,11,,8,12,,,,,,,,23
1974-75,31,TOT,NBA,,9,,5,6,,,,,,,,19
1974-75,31,ATL,NBA,,9,,5,6,,,,,,,,19
1974-75,31,BUF,NBA,,7,,4,6,,,,,,,,16
1975-76,32,BUF,NBA,,0,1,0,0,1,0,1,1,0,0,0,0
Career,,,,,14,,16,20,,,,,,,,34
5 Seasons,,"ATL,STL",NBA,,11,,12,14,,,,,,,,28
3 Seasons,,CHI,NBA,,14,,10,13,,,,,,,,30
3 Seasons,,PHI,NBA,,13,,16,20,,,,,,,,34
2 Seasons,,BUF,NBA,,7,,4,6,,,,,,,,16
