Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jim Washington,,6.7,5.5,5.4,4.9,4.7,4.3,3.6,2.4,1.3,0.5,0
Bill Bradley,95.9,7,5.4,5.4,4.9,4.7,4.2,2.8,2.5,1.1,0.8,NA
Tom Gugliotta,93.5,6.7,5.4,5.3,5.2,5,3.8,3.5,1.8,1.6,0.9,0.4
Jerome Williams,91.6,7.6,5.4,5,4.8,4.5,4.3,3.5,2.6,0.2,NA,NA
Ed Davis,91.5,6.7,6.3,5.7,5.4,5,4,3.9,2.6,1.7,NA,NA
Brandon Bass,90.1,6.3,5.3,5.1,4.7,4.7,4.3,4.1,4.1,2,0.1,0
Junior Bridgeman,89.4,6.7,6.1,5.5,5.1,4.8,4,3.6,3.1,2.6,2.1,0.8
Cliff Levingston,89.3,7,6.1,5.5,5.5,5.3,4.7,3.4,2.9,2,1.3,0.5
Robert Reid,89.0,7.2,5.2,4.9,4.5,4.4,4.1,3.5,3,2.3,1.7,-0.1
Bruce Bowen,88.9,6.2,6.1,5.4,5.1,4.2,4.1,2.2,1.9,1.2,0,0
John Salley,88.6,6.2,6.1,5.1,4.8,4.8,3.8,3.6,3.5,2.5,0.6,0.5
