Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1965-66,22,STL,NBA,PF,4,NA,6,2,4,0.5,0,0,NA,NA,NA,3,0,NA,NA,2,4
1966-67,23,CHI,NBA,PF,3,NA,38,10,22,0.455,4,5,0.8,NA,NA,10,2,NA,NA,8,24
1967-68,24,CHI,NBA,C,5,NA,205,38,85,0.447,10,15,0.667,NA,NA,75,10,NA,NA,15,86
1969-70,26,PHI,NBA,PF,5,NA,167,25,57,0.439,13,23,0.565,NA,NA,49,9,NA,NA,18,63
1970-71,27,PHI,NBA,PF,7,NA,216,27,61,0.443,26,36,0.722,NA,NA,48,10,NA,NA,24,80
1971-72,28,ATL,NBA,PF,6,NA,209,28,58,0.483,9,16,0.563,NA,NA,48,10,NA,NA,20,65
1972-73,29,ATL,NBA,PF,6,NA,226,19,48,0.396,5,17,0.294,NA,NA,60,14,NA,NA,19,43
1974-75,31,BUF,NBA,PF,6,NA,39,2,5,0.4,0,0,NA,3,4,7,3,0,0,5,4
Career,NA,,NBA,,42,NA,1106,151,340,0.444,67,112,0.598,3,4,300,58,0,0,111,369
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"STL,ATL",NBA,,16,NA,441,49,110,0.445,14,33,0.424,NA,NA,111,24,NA,NA,41,112
2 seasons,NA,PHI,NBA,,12,NA,383,52,118,0.441,39,59,0.661,NA,NA,97,19,NA,NA,42,143
2 seasons,NA,CHI,NBA,,8,NA,243,48,107,0.449,14,20,0.7,NA,NA,85,12,NA,NA,23,110
1 season,NA,BUF,NBA,,6,NA,39,2,5,0.4,0,0,NA,3,4,7,3,0,0,5,4
