Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1958-59,21,STL,NBA,SF,2,NA,7,1,1,1,0,0,NA,2,0,2,2
1959-60,22,TOT,NBA,SF,61,NA,656,117,291,0.402,69,106,0.651,229,38,83,303
1959-60,22,STL,NBA,SF,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-60,22,CIN,NBA,SF,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-61,23,SYR,NBA,SF,79,NA,2090,397,947,0.419,291,352,0.827,581,101,276,1085
1961-62,24,SYR,NBA,SF,80,NA,2301,477,1126,0.424,384,470,0.817,631,114,275,1338
1962-63,25,SYR,NBA,SF,60,NA,1234,235,537,0.438,199,238,0.836,289,48,190,669
1963-64,26,PHI,NBA,SF,41,NA,927,149,378,0.394,151,185,0.816,256,35,161,449
1964-65,27,PHI,NBA,SF,80,NA,1993,356,864,0.412,299,368,0.813,468,113,277,1011
1965-66,28,PHI,NBA,SF,72,NA,1068,168,437,0.384,159,187,0.85,273,71,189,495
1966-67,29,PHI,NBA,SF,63,NA,757,150,345,0.435,107,125,0.856,197,42,143,407
1967-68,30,SDR,NBA,PF,80,NA,1755,375,853,0.44,321,379,0.847,464,93,253,1071
1968-69,31,TOT,NBA,SF,59,NA,926,210,465,0.452,159,195,0.815,257,47,159,579
1968-69,31,MIL,NBA,SF,34,NA,624,150,323,0.464,110,133,0.827,179,32,99,410
1968-69,31,DET,NBA,SF,25,NA,302,60,142,0.423,49,62,0.79,78,15,60,169
1969-70,32,SFW,NBA,SF,73,NA,951,185,464,0.399,156,186,0.839,244,55,172,526
Career,NA,,NBA,,750,NA,14665,2820,6708,0.42,2295,2791,0.822,3891,757,2180,7935
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,"SYR,PHI",NBA,,475,NA,10370,1932,4634,0.417,1590,1925,0.826,2695,524,1511,5454
1 season,NA,SDR,NBA,,80,NA,1755,375,853,0.44,321,379,0.847,464,93,253,1071
1 season,NA,SFW,NBA,,73,NA,951,185,464,0.399,156,186,0.839,244,55,172,526
2 seasons,NA,STL,NBA,,44,NA,7,1,1,1,0,0,NA,2,0,2,2
1 season,NA,MIL,NBA,,34,NA,624,150,323,0.464,110,133,0.827,179,32,99,410
1 season,NA,DET,NBA,,25,NA,302,60,142,0.423,49,62,0.79,78,15,60,169
1 season,NA,CIN,NBA,,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
