,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1958-59,21,STL,NBA,,1,1,0,0,,0,2,2
1959-60,22,TOT,NBA,,7,,7,9,,,,21
1959-60,22,STL,NBA,,7,,7,9,,,,21
1959-60,22,CIN,NBA,,6,,7,9,,,6,17
1960-61,23,SYR,NBA,,11,,12,,,,,27
1961-62,24,SYR,NBA,,15,,15,,,,,36
1962-63,25,SYR,NBA,,8,,9,,,,,19
1963-64,26,PHI,NBA,,9,,9,12,,,,20
1964-65,27,PHI,NBA,,10,18,12,14,16,,6,28
1965-66,28,PHI,NBA,,10,17,7,8,10,,6,24
1966-67,29,PHI,NBA,,7,,6,6,,,,20
1967-68,30,SDR,NBA,,14,,14,18,,,,39
1968-69,31,TOT,NBA,,11,,11,12,,,,32
1968-69,31,MIL,NBA,,11,,11,12,,,,29
1968-69,31,DET,NBA,,11,,10,10,,,,32
1969-70,32,SFW,NBA,,8,16,11,14,10,4,5,27
Career,,,,,15,,15,,,,,39
7 Seasons,,"PHI,SYR",NBA,,15,,15,,,,,36
1 Season,,SDR,NBA,,14,,14,18,,,,39
1 Season,,SFW,NBA,,8,16,11,14,10,4,5,27
2 Seasons,,STL,NBA,,7,,7,9,,,,21
1 Season,,MIL,NBA,,11,,11,12,,,,29
1 Season,,DET,NBA,,11,,10,10,,,,32
1 Season,,CIN,NBA,,6,,7,9,,,6,17
