Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1960-61,23,SYR,NBA,SF,8,NA,208,5.9,16.4,0.358,5.5,7.1,0.78,9.5,2.1,5.7,17.3
1961-62,24,SYR,NBA,SF,5,NA,170,3.6,11.4,0.315,4.7,5.3,0.88,9.5,0.8,4.7,11.9
1962-63,25,SYR,NBA,SF,5,NA,75,4.8,16.3,0.294,5.8,6.2,0.923,7.7,0,6.7,15.4
1963-64,26,PHI,NBA,SF,5,NA,149,5.8,14.5,0.4,5.1,6.5,0.778,7,1.9,5.6,16.7
1964-65,27,PHI,NBA,SF,10,NA,132,4.4,13.1,0.333,8.2,9.3,0.882,6.3,1.6,8.5,16.9
1965-66,28,PHI,NBA,SF,5,NA,82,4.8,12.7,0.379,3.5,4.8,0.727,6.1,1.8,6.1,13.2
1966-67,29,PHI,NBA,SF,5,NA,24,9,16.5,0.545,9,9,1,9,3,9,27
Career,NA,,NBA,,43,NA,840,5.1,14.2,0.356,5.6,6.7,0.834,8.1,1.5,6.1,15.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,"SYR,PHI",NBA,,43,NA,840,5.1,14.2,0.356,5.6,6.7,0.834,8.1,1.5,6.1,15.7
