Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Damjan Rudež,,1.3,0.1,0.1,NA,NA,NA
Damian Jones,88.8,1.5,0.1,0,NA,NA,NA
Stephen Howard,83.8,1.3,0.2,0.1,0,NA,NA
Jackie Butler,81.9,1.2,0.1,0.1,NA,NA,NA
Brian Evans,81.7,1.5,0.1,0.1,NA,NA,NA
Mark Pope,81.4,1.3,0.1,0,0,-0.1,-0.1
Dwayne Jones,81.3,1.2,0.1,0.1,0,0,NA
Perry Jones,77.2,1.5,0.2,0,NA,NA,NA
Michael Young,73.2,1.1,0,0,NA,NA,NA
Qyntel Woods,73.1,1.3,0.2,0,-0.2,NA,NA
Roy Rogers,66.9,1.4,0.4,-0.1,NA,NA,NA
