Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Ernie Beck,,4.3,2.1,1.1,0.9,0.9,0.1,-0.4
Ed Fleming,85.1,5,2,1.2,1,0.8,NA,NA
Johnny Neumann,83.4,4.6,2,1.6,0.8,0.6,0,-0.1
Darrick Martin,82.9,4.6,1.9,1.3,0.7,0.5,0.2,0.1
John Barnhill,80.8,4.6,1.7,1.1,1,1,0.7,0.4
Moochie Norris,79.1,4.4,1.8,1.7,1.7,0.8,-0.1,-0.2
Pep Saul,78.4,4.2,2.8,1.5,0.8,0.6,NA,NA
Anthony Johnson,77.5,3.6,1.8,1.1,0.7,0.4,0.3,-0.2
Reggie Bullock,77.4,4.2,3.1,1.2,1,0.2,0.1,NA
Eddie Jordan,76.8,4.1,2.4,1.9,0.7,0.6,-0.1,-0.8
Brandon Knight,76.5,4.5,2.8,1.7,1.3,1.1,0.3,0
