Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Corey Gaines,,0.6,0.3,0.2,0.1,-0.1
Greg Graham,73.9,0.8,0.3,0.3,0.1,-0.1
Kennard Winchester,69.7,0.5,0.4,0.3,NA,NA
Archie Goodwin,65.9,0.7,0.2,0.2,0.1,NA
Gus Bailey,65.7,0.5,0.2,0.2,0,0
Jordan McRae,64.0,0.5,0.4,0.2,NA,NA
K.J. McDaniels,63.7,0.6,0.5,0.2,NA,NA
Julyan Stone,63.6,0.4,0.3,0.2,0.1,NA
Pete Myers,63.5,0.5,0.3,0,0,-0.1
Darrin Hancock,63.1,0.5,0.4,0.2,NA,NA
Mario West,62.6,0.5,0.4,0.3,0.2,NA
