Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,23,STB,BAA,NA,3,NA,NA,3.7,9.7,0.379,0,0.7,0,NA,0,2,7.3
1947-48,24,STB,BAA,NA,5,NA,NA,0.4,4.8,0.083,0.6,1.4,0.429,NA,0,0.6,1.4
Career,NA,,BAA,NA,8,NA,NA,1.6,6.6,0.245,0.4,1.1,0.333,NA,0,1.1,3.6
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,STB,BAA,NA,8,NA,NA,1.6,6.6,0.245,0.4,1.1,0.333,NA,0,1.1,3.6
