Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Giff Roux,,3.4,0.8,-0.5,NA
Tom Marshall,75.8,3.5,0.7,0.2,-0.3
Archie Dees,71.2,3.7,0.7,0.4,NA
Dorian Finney-Smith,70.6,3.3,1.4,0.1,NA
Derrick Jones,62.3,2.9,1.1,0.4,NA
Paul Graham,62.1,3.6,1.9,0.2,NA
Dick Schulz,61.5,2.9,0.8,0.6,0
Richard Dumas,61.4,3.9,0.3,0.3,NA
Charlie Black,59.6,2.8,1.8,-0.4,NA
Charles Jones,59.5,2.9,0.9,0.6,0.1
Charlie Hardnett,58.7,2.3,1,-0.3,NA
