Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1952-53,22,PHW,NBA,SF,31,608,9.5,0.339,0.195,NA,NA,NA,NA,NA,-1.4,0.4,-1,-0.082
Career,NA,,NBA,,31,608,9.5,0.339,0.195,NA,NA,NA,NA,NA,-1.4,0.4,-1,-0.082
