Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1959-60,23,DET,NBA,C,58,670,7.6,0.33,0.269,NA,NA,NA,NA,NA,-1.9,0.6,-1.3,-0.09
1960-61,24,LAL,NBA,C,20,174,2.5,0.356,0.2,NA,NA,NA,NA,NA,-0.2,0.2,0,-0.002
Career,NA,,NBA,,78,844,6.5,0.333,0.261,NA,NA,NA,NA,NA,-2.1,0.8,-1.3,-0.072
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,DET,NBA,,58,670,7.6,0.33,0.269,NA,NA,NA,NA,NA,-1.9,0.6,-1.3,-0.09
1 season,NA,LAL,NBA,,20,174,2.5,0.356,0.2,NA,NA,NA,NA,NA,-0.2,0.2,0,-0.002
