,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1987-88,29,MIL,NBA,,3,9,0,1,3,9,4,6,4,4,7,3,1,2,3,4,10,7.7
1988-89,30,TOT,NBA,,2,4,0,0,2,4,0,0,4,3,7,2,0,2,1,2,4,6.4
1988-89,30,SAS,NBA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,-1.8
1988-89,30,GSW,NBA,,2,4,0,0,2,4,0,0,4,3,7,2,0,2,1,1,4,6.4
Career,,,,,3,9,0,1,3,9,4,6,4,4,7,3,1,2,3,4,10,7.7
1 Season,,MIL,NBA,,3,9,0,1,3,9,4,6,4,4,7,3,1,2,3,4,10,7.7
1 Season,,GSW,NBA,,2,4,0,0,2,4,0,0,4,3,7,2,0,2,1,1,4,6.4
1 Season,,SAS,NBA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,-1.8
