Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Felton Spencer,,5.6,4.7,2.4,2,2,1.3,1.1,0.9,0.5,0.4,0.3,-0.1
Dennis Awtrey,88.0,5.2,5,3.1,2.1,1.8,1.4,1,1,0.7,0.6,0.6,0
Mikki Moore,87.2,5.7,4.6,2.8,2.6,2.2,2.1,1,0.6,0.6,0.1,0.1,0.1
Randy Breuer,87.0,5.1,4.5,3,2.4,2,1.7,1,0.9,0.3,0.1,0,NA
Dale Schlueter,85.3,6.3,4.4,3,2,1.6,1.2,1.1,1.1,0.1,0,NA,NA
Ömer Aşık,83.1,5.5,5,2.7,2.6,2.4,1.7,1,-0.1,NA,NA,NA,NA
Spencer Hawes,79.6,4.5,4.5,2.9,2.4,2.1,1.9,1.7,1.2,0.8,0.6,NA,NA
Joel Przybilla,79.2,6.6,4.7,4.3,2.3,1.9,1.4,0.6,0.5,0.3,0.3,0.1,0.1
Jerome Whitehead,78.1,5.3,3.6,2.1,1.6,1.5,1.2,0.4,0.3,0.2,0.2,0.1,NA
Bob Ferry,78.0,4.9,3.9,3.1,2.7,1.4,1.2,1.2,0.9,0.8,0,NA,NA
Zaid Abdul-Aziz,76.8,6.5,3.7,2,1.9,1.8,1,0.6,0.3,0.1,-0.3,NA,NA
