Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Ed Macauley,,15.9,14.6,14.5,13.8,10.6,8.9,8.3,7.8,6.3,-0.2
Moses Malone,92.8,15.4,15.1,14.1,13.7,11.9,10.2,9.5,8.7,6.1,1.9
Walt Bellamy,89.9,16.3,14.4,13.7,12.1,11.1,10.4,9.5,8.8,6.2,4.9
Dwight Howard,87.7,14.4,13.8,13.2,12.9,9.7,8.6,8,7.7,7.6,7.3
Zelmo Beaty,86.6,16,15.1,11.8,10.8,10.3,9,8.4,5.2,4.8,4.5
Patrick Ewing,83.9,13.5,13.1,13,10.9,10.6,10,9.6,8.1,3.5,3.1
Shaquille O'Neal,82.8,18.6,16.9,14.9,14,13.2,10.4,10.2,9,8,6.9
Hakeem Olajuwon,82.3,15.8,14.3,12.4,11.2,10.9,10.7,10.2,9.8,9.5,8.6
Bob Lanier,81.7,14.4,12.4,10.6,10.3,10.1,10.1,8.4,7.4,5.9,5.2
Dan Issel,81.6,15.8,13.8,13.5,12.5,11.5,11.1,10.9,10.7,9.8,9.3
Bill Russell,76.7,17.3,16.9,15.5,13.8,13.5,13,12.9,11.7,11.3,6.2
