Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1950-51,22,BOS,NBA,,2,NA,NA,17,36,0.472,10,16,0.625,18,8,4,44
1951-52,23,BOS,NBA,C,3,NA,129,27,49,0.551,16,19,0.842,33,11,11,70
1952-53,24,BOS,NBA,C,6,NA,278,31,71,0.437,39,54,0.722,58,21,23,101
1953-54,25,BOS,NBA,C,5,NA,127,8,22,0.364,9,13,0.692,21,21,14,25
1954-55,26,BOS,NBA,C,7,NA,283,43,93,0.462,41,54,0.759,52,32,21,127
1955-56,27,BOS,NBA,C,3,NA,73,12,30,0.4,7,11,0.636,15,5,6,31
1956-57,28,STL,NBA,PF,10,NA,297,44,109,0.404,54,74,0.73,62,22,39,142
1957-58,29,STL,NBA,C,11,NA,227,36,89,0.404,36,50,0.72,62,18,23,108
Career,NA,,NBA,,47,NA,1414,218,499,0.437,212,291,0.729,321,138,141,648
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,BOS,NBA,,26,NA,890,138,301,0.458,122,167,0.731,197,98,79,398
2 seasons,NA,STL,NBA,,21,NA,524,80,198,0.404,90,124,0.726,124,40,62,250
