,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1966-67,23,NYK,NBA,,5,,,,,,6,7,,,,,,,,,16
1967-68,24,NYK,NBA,,2,4,,,,,0,0,,,3,0,,,,1,4
1969-70,26,PHO,NBA,,1,2,,,,,0,0,,,3,0,,,,4,2
1970-71,27,VIR,ABA,,7,,1,,,,7,8,,,,,,,,,17
1972-73,29,VIR,ABA,,7,,0,,,,2,3,,,,,,,,,16
Career,,,TOT,,7,,,,,,7,8,,,,,,,,,17
,,,NBA,,5,,,,,,6,7,,,,,,,,,16
,,,ABA,,7,,1,,,,7,8,,,,,,,,,17
,,,,,,,,,,,,,,,,,,,,,
2 Seasons,,VIR,ABA,,7,,1,,,,7,8,,,,,,,,,17
2 Seasons,,NYK,NBA,,5,,,,,,6,7,,,,,,,,,16
1 Season,,PHO,NBA,,1,2,,,,,0,0,,,3,0,,,,4,2
