,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1966-67,23,NYK,NBA,,6,,,,,,8,10,,,,,,,,,17
1967-68,24,NYK,NBA,,4,,,,,,4,7,,,,,,,,,10
1968-69,25,PHO,NBA,,9,17,,,,,8,9,,,14,7,,,,6,22
1969-70,26,PHO,NBA,,3,8,,,,,3,4,,,12,2,,,,5,6
1970-71,27,VIR,ABA,,14,,0,,,,8,10,,,,,,,,,31
1971-72,28,VIR,ABA,,11,,1,,,,6,8,,,,,,,,,25
1972-73,29,VIR,ABA,,10,,0,,,,6,8,,,,,,,,,22
Career,,,TOT,,14,,,,,,8,10,,,,,,,,,31
,,,NBA,,9,,,,,,8,10,,,,,,,,,22
,,,ABA,,14,,1,,,,8,10,,,,,,,,,31
,,,,,,,,,,,,,,,,,,,,,
3 Seasons,,VIR,ABA,,14,,1,,,,8,10,,,,,,,,,31
2 Seasons,,PHO,NBA,,9,17,,,,,8,9,,,14,7,,,,6,22
2 Seasons,,NYK,NBA,,6,,,,,,8,10,,,,,,,,,17
