Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1966-67,23,NYK,NBA,PF,4,64,10.7,0.377,NA,0.296,NA,NA,NA,10,NA,NA,NA,NA,NA,-0.1,0.1,0,-0.029
1967-68,24,NYK,NBA,PF,2,6,20.3,0.5,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0.097
1969-70,26,PHO,NBA,PF,2,7,2.8,0.333,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,-0.053
1970-71,27,VIR,ABA,PF,12,253,16.2,0.503,0.011,0.478,NA,NA,NA,15.6,NA,NA,13.2,NA,NA,0.2,0.3,0.5,0.094
1972-73,29,VIR,ABA,PF,5,98,10.3,0.542,0,0.308,NA,NA,12.1,7.8,NA,NA,19.2,15.3,NA,0.1,-0.1,0,0.021
Career,NA,,TOT,,25,428,13.9,0.485,0.007,0.395,NA,NA,12.1,12.5,NA,NA,14.6,15.3,NA,0.2,0.3,0.5,0.057
,NA,,ABA,,17,351,14.6,0.511,0.008,0.441,NA,NA,12.1,13.4,NA,NA,14.6,15.3,NA,0.3,0.2,0.5,0.074
,NA,,NBA,,8,77,10.7,0.386,NA,0.235,NA,NA,NA,8.3,NA,NA,NA,NA,NA,-0.1,0.1,0,-0.021
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,VIR,ABA,,17,351,14.6,0.511,0.008,0.441,NA,NA,12.1,13.4,NA,NA,14.6,15.3,NA,0.3,0.2,0.5,0.074
2 seasons,NA,NYK,NBA,,6,70,11.5,0.391,NA,0.258,NA,NA,NA,9.1,NA,NA,NA,NA,NA,-0.1,0.1,0,-0.018
1 season,NA,PHO,NBA,,2,7,2.8,0.333,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,-0.053
