Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Neil Johnson,,6.3,2.5,2.2,1.9,0.2,-0.2,-0.3
JaMychal Green,81.7,5.8,2.9,2.6,2.6,0.4,NA,NA
Larry Krystkowiak,81.5,6.3,2.6,2.1,1.8,1.4,1,0.1
Kyle Anderson,80.8,6.2,3.5,2.7,2.7,0.3,NA,NA
Jim Baechtold,80.8,6,3.2,2.6,2.1,0.9,NA,NA
Monk Meineke,80.7,6.1,3.7,2.6,1.8,0.7,NA,NA
Dorell Wright,80.7,5.8,4.3,2.2,1.9,0.2,-0.1,-0.1
Terrence Jones,80.1,7.3,3,2.3,1.5,0.7,-0.1,NA
Frank Card,74.9,4.2,2.6,2.4,1.9,0.1,NA,NA
Tyler Zeller,74.2,6.5,2.9,2.6,2,1.7,1,0.3
Kris Humphries,74.1,5.4,1.9,1.8,1.5,0.7,0.2,-0.3
