Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Neil Johnson,,6.3,2.5,2.2,1.9,0.2,-0.2,-0.3,NA,NA
JaMychal Green,81.7,5.8,2.9,2.6,2.6,0.4,NA,NA,NA,NA
Kyle Anderson,80.8,6.2,3.5,2.7,2.7,0.3,NA,NA,NA,NA
Jim Baechtold,80.8,6,3.2,2.6,2.1,0.9,NA,NA,NA,NA
Monk Meineke,80.7,6.1,3.7,2.6,1.8,0.7,NA,NA,NA,NA
Terrence Jones,80.1,7.3,3,2.3,1.5,0.7,-0.1,NA,NA,NA
Larry Krystkowiak,79.8,6.3,2.6,2.1,1.8,1.4,1,0.3,0.1,0.1
Frank Card,74.9,4.2,2.6,2.4,1.9,0.1,NA,NA,NA,NA
Tyler Zeller,74.2,6.5,2.9,2.6,2,1.7,1,0.3,NA,NA
Walt Budko,73.4,5.6,4,2.7,1.5,NA,NA,NA,NA,NA
Tom Boswell,73.0,5.6,3.7,2.7,2.4,0.6,0.2,NA,NA,NA
