Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Chris Anstey,,1.9,0.6,0.3,NA,NA,NA
John Shasky,85.8,1.9,0.7,-0.1,NA,NA,NA
Mike Novak,78.9,1.8,0.6,-0.2,NA,NA,NA
Zendon Hamilton,70.6,1.8,1.1,0.1,0.1,0,0
Dave Hoppen,70.1,2.6,0.8,0.2,0,0,-0.1
Bob Elliott,69.8,1.6,0.8,0.7,NA,NA,NA
Audie Norris,69.7,1.9,1.1,-0.1,NA,NA,NA
Robert Sacre,68.5,1.4,0.8,0.3,-0.1,NA,NA
Sean Williams,68.5,2.5,0.4,0.3,-0.2,NA,NA
Pétur Guðmundsson,67.6,1.4,0.6,0.3,-0.1,NA,NA
Josh Harrellson,67.6,1.4,0.7,0,NA,NA,NA
