Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Marc Iavaroni,,1.7,1.5,1.4,1.1,1,0.7,0.6
Scott Hastings,81.0,2.1,1.5,1.3,1,0.8,0.4,0.1
Larry Staverman,80.8,1.6,1.6,1.4,1.2,1.1,NA,NA
Pete Chilcutt,80.7,2.1,2,1.5,1.4,1.1,1,0.7
John Wallace,80.1,1.6,1.5,1,1,0.7,0.3,0.3
Jason Smith,79.5,2.2,1.7,1.6,1.5,1.2,0.9,0.7
Jud Buechler,79.3,2.3,1.8,1.5,1.2,1.2,0.5,0.4
Quincy Acy,76.6,2.5,1.7,1.5,1.1,1,0.9,-0.1
Jeff Grayer,75.4,1.9,1.8,1.5,1.5,1.5,0.4,0.2
Luke Babbitt,73.5,1.8,1.6,1.1,0.7,0.7,0.7,-0.4
Mark Madsen,72.8,2.7,1.9,1.1,1.1,0.8,0.6,0.4
