Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Marc Iavaroni,,1.7,1.5,1.4,1.1,1,0.7,0.6,NA,NA,NA,NA
Luke Babbitt,82.2,1.8,1.6,1.1,0.9,0.7,0.7,0.7,-0.4,NA,NA,NA
Brian Scalabrine,81.7,1.7,1.4,1.1,1,0.9,0.6,0.3,0.3,0.2,0.1,-0.1
Larry Staverman,80.8,1.6,1.6,1.4,1.2,1.1,NA,NA,NA,NA,NA,NA
John Wallace,80.1,1.6,1.5,1,1,0.7,0.3,0.3,NA,NA,NA,NA
Scott Hastings,78.3,2.1,1.5,1.3,1.3,1,0.8,0.5,0.4,0.3,0.3,0.1
Quincy Acy,76.6,2.5,1.7,1.5,1.1,1,0.9,-0.1,NA,NA,NA,NA
Pete Chilcutt,74.6,2.1,2,1.5,1.4,1.1,1,0.7,0.6,0.3,NA,NA
Jeff Grayer,74.5,1.9,1.8,1.5,1.5,1.5,0.4,0.3,0.2,-0.1,NA,NA
Michael Ruffin,74.1,1.9,1.7,1.2,1,0.6,0.2,0.1,0,0,NA,NA
Jeremy Evans,71.8,2.8,1.6,1.3,0.9,0.9,0.6,0,NA,NA,NA,NA
