Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Enes Kanter,,8.1,7.6,6.4,5.8,5.4,2.3,2.2,1.7,NA,NA,NA
Ray Felix,93.1,8.6,7.2,5.8,5.5,5.5,2.3,2,1.8,0.8,NA,NA
Emeka Okafor,87.1,8.2,7.1,6.5,5.8,5.5,4.5,4,1.7,1,1,NA
Tom Boerwinkle,86.6,9,7.4,6.3,4.4,3.8,2.6,2.3,1.7,0.5,0.2,NA
Andrew Bynum,85.5,8,7.8,6.6,5.5,4.8,4.2,0.4,0.1,NA,NA,NA
DeMarcus Cousins,85.1,7.9,7.6,6,5.7,4.7,4.4,4.2,2.4,1.1,NA,NA
Chuck Share,83.9,8.6,8.1,6.7,4.7,4.2,4,3.3,1.3,NA,NA,NA
Elmore Smith,82.1,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,NA,NA,NA
Rony Seikaly,81.0,6.8,6.7,6.5,6.2,3.2,3,2.7,2.3,0.7,-0.3,-0.5
Jonas Valančiūnas,81.0,8.2,7.9,7.6,6.9,6.7,4.2,3.9,NA,NA,NA,NA
Nikola Vučević,80.6,10.1,7,5.7,5.2,4.4,4,3.6,1.8,NA,NA,NA
