,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1960-61,24,SYR,NBA,,7,,,,,,5,,,,,,,,15
1961-62,25,SYR,NBA,,8,,,,,,9,,,,,,,,24
1962-63,26,SYR,NBA,,6,,,,,,4,,,,,,,,14
1967-68,31,KEN,ABA,,7,,1,,,,4,7,,,,,,,14
Career,,,TOT,,8,,,,,,9,,,,,,,,24
,,,NBA,,8,,,,,,9,,,,,,,,24
,,,ABA,,7,,1,,,,4,7,,,,,,,14
,,,,,,,,,,,,,,,,,,,
3 Seasons,,SYR,NBA,,8,,,,,,9,,,,,,,,24
1 Season,,KEN,ABA,,7,,1,,,,4,7,,,,,,,14
