,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1960-61,24,SYR,NBA,,2,5,,,,,0,0,,,,0,,2,4
1961-62,25,SYR,NBA,,3,8,,,,,7,9,,,10,0,,4,13
1967-68,31,KEN,ABA,,3,,0,,,,2,5,,,,,,,8
Career,,,TOT,,3,,,,,,7,9,,,,,,,13
,,,NBA,,3,8,,,,,7,9,,,,0,,4,13
,,,ABA,,3,,0,,,,2,5,,,,,,,8
,,,,,,,,,,,,,,,,,,,
2 Seasons,,SYR,NBA,,3,8,,,,,7,9,,,,0,,4,13
1 Season,,KEN,ABA,,3,,0,,,,2,5,,,,,,,8
