Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Joe Roberts,,1.9,0.2,0.2,0
Alan Williams,87.6,2.1,0.2,0.2,0
Linton Johnson,85.1,1.9,0.4,0.4,0
Tellis Frank,81.1,2,0.6,0.3,0.1
Dean Tolson,80.8,2,0.2,0,NA
Dick Ricketts,79.2,2,0.1,0,NA
Jim Holstein,77.6,1.8,0.6,0.2,NA
Kornél Dávid,76.9,1.7,0.4,0.3,NA
J.J. Anderson,76.4,2.3,0.2,0.1,NA
Joey Dorsey,75.9,1.9,0.8,0.1,0
Gerard King,74.8,2.3,0.5,0.2,NA
