Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1960-61,24,SYR,NBA,SF,68,NA,800,5.9,15.8,0.37,NA,NA,NA,5.9,15.8,0.37,2.8,4.7,0.596,NA,NA,10.9,1.9,NA,5.6,14.5
1961-62,25,SYR,NBA,PF,80,NA,1642,5.3,13.6,0.393,NA,NA,NA,5.3,13.6,0.393,2.8,4.3,0.665,NA,NA,11.8,1.1,NA,5,13.5
1962-63,26,SYR,NBA,PF,33,NA,466,5.6,15.1,0.372,NA,NA,NA,5.6,15.1,0.372,2.7,3.9,0.686,NA,NA,12,1.2,NA,5.1,14
1967-68,31,KEN,ABA,SF,37,NA,564,3.4,9.3,0.37,0.1,0.2,0.333,3.4,9.1,0.371,1.8,3.2,0.56,NA,NA,8.9,0.9,1.9,4.1,8.7
Career,NA,,TOT,,218,NA,3472,5.2,13.6,0.381,0.1,0.2,0.333,5.2,13.6,0.381,2.6,4.1,0.637,NA,NA,11.1,1.3,1.9,5,13
,NA,,NBA,,181,NA,2908,5.5,14.4,0.383,NA,NA,NA,5.5,14.4,0.383,2.8,4.3,0.648,NA,NA,11.6,1.3,NA,5.2,13.8
,NA,,ABA,,37,NA,564,3.4,9.3,0.37,0.1,0.2,0.333,3.4,9.1,0.371,1.8,3.2,0.56,NA,NA,8.9,0.9,1.9,4.1,8.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,SYR,NBA,,181,NA,2908,5.5,14.4,0.383,NA,NA,NA,5.5,14.4,0.383,2.8,4.3,0.648,NA,NA,11.6,1.3,NA,5.2,13.8
1 season,NA,KEN,ABA,,37,NA,564,3.4,9.3,0.37,0.1,0.2,0.333,3.4,9.1,0.371,1.8,3.2,0.56,NA,NA,8.9,0.9,1.9,4.1,8.7
