Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Vinny Del Negro,,8.3,6.8,5.7,3.7,3.5,3.1,2.5,2.2,1.6,1.6,1.5,0
Eric Snow,88.2,8.4,6.1,5.5,5.5,3.8,3.8,2.8,2.1,1.9,1.9,1.3,0.5
Eddie Johnson,87.0,8.2,6.9,6.3,4.8,4.2,3.5,3,1.7,1.5,0.8,NA,NA
Wesley Person,86.9,10.3,6.9,5.2,4,3.8,3.7,3.3,2.6,1.6,1.3,1.2,NA
Kendall Gill,85.9,8.8,6.7,5.9,4.7,4.6,3.7,3.2,2.9,2.6,1.8,0.7,-0.4
Steve Kerr,85.8,8.3,7.5,6.1,5.9,3.8,3.2,2.4,1.6,1.3,0.6,0.6,0.4
Mo Williams,84.6,9.8,6.7,4.5,3.2,2.8,2.5,2.2,2.2,2.1,1.8,1,0.2
Jalen Rose,84.2,7.3,7.3,5.7,4.8,3.8,3.6,3.3,2.9,2.5,2.1,1.8,1.5
Leandro Barbosa,83.6,8.2,5.5,5,3.8,2.8,1.9,1.8,1.7,1.5,1.1,0.9,0.4
Derek Anderson,83.4,9.9,8.1,5.3,5.3,3.6,3.3,2.9,2.1,1.6,1.3,0.3,NA
Craig Ehlo,82.7,6.5,6.2,5.9,4.6,3.8,3.4,3.1,2.1,1.2,0.5,0.2,0
