Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Warren Davis,,8.1,5.8,5.7,3.4,3.4,3.2,NA,NA,NA,NA
Gene Banks,93.6,7.9,6.2,5.6,4.3,3.6,3.5,NA,NA,NA,NA
Mel Hutchins,86.3,6.9,5.8,4.4,3.9,3.8,2.8,0.3,NA,NA,NA
Les Hunter,84.7,8.4,5.6,4.9,2.7,2.2,2.1,-0.5,NA,NA,NA
Chandler Parsons,84.3,7.6,7,5.5,4.3,3.4,1.1,0.2,0,NA,NA
M.L. Carr,83.5,7.9,5.9,5.2,4.5,4.5,2.8,1.1,0.8,0.4,0.4
Trooper Washington,82.8,8.3,6.9,6.3,6,3.4,2.2,NA,NA,NA,NA
DeMarre Carroll,82.7,7,5.8,4.1,3.8,3.1,3.1,1.2,0.5,0.5,0.1
Jay Vincent,82.4,6.5,6,5.6,3.4,2.8,1.9,1.1,0.5,-0.3,NA
Curtis Perry,82.1,7.6,6,5.3,4.8,2.8,1.7,1.3,0.2,NA,NA
Curtis Rowe,81.6,8.3,6.2,6.1,5.2,5.2,2.3,0.9,0,NA,NA
