Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Warren Davis,,8.1,5.8,5.7,3.4,3.4,3.2
Gene Banks,93.6,7.9,6.2,5.6,4.3,3.6,3.5
Carl Landry,92.6,7.7,6.2,5.9,4.1,3.7,2.9
Nicolas Batum,90.2,7.9,6.6,5.8,4.8,3.7,3.5
Hedo Türkoğlu,89.8,7.6,6.7,5.2,3.4,2.8,2.6
Thurl Bailey,89.1,6.8,6.5,5.4,4,3.6,3.1
Tom Chambers,88.2,7.4,6.1,5.9,4.8,4.3,3.3
Derrick Favors,87.8,8.3,7.1,5.1,4.4,3,2.9
Tom Meschery,87.7,7.5,5.2,4.1,3.7,3.1,3
Junior Bridgeman,87.5,6.7,6.1,5.5,4,3.6,2.1
Ed Davis,87.4,6.7,6.3,5.4,4,3.9,2.6
