Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,24,ANA,ABA,PF,54,1816,18.1,0.501,0.009,0.466,NA,NA,13.6,6.3,NA,NA,12.3,20.7,NA,2.8,0.6,3.4,0.09
1968-69,25,LAS,ABA,PF,78,2406,16.1,0.551,0.003,0.609,NA,NA,14.7,7.7,NA,NA,16.9,16.5,NA,4.1,1.7,5.8,0.116
1969-70,26,TOT,ABA,PF,80,2647,17,0.556,0.003,0.485,NA,NA,14.8,12.4,NA,NA,20.8,18.2,NA,5,3.1,8.1,0.146
1969-70,26,LAS,ABA,PF,46,1502,17.6,0.554,0.002,0.414,NA,NA,14.6,10.1,NA,NA,18.9,20.1,NA,3.1,1.8,4.9,0.155
1969-70,26,PTP,ABA,PF,34,1145,16.3,0.558,0.007,0.618,NA,NA,15.1,15.5,NA,NA,23.9,15.8,NA,1.9,1.3,3.2,0.134
1970-71,27,FLO,ABA,PF,76,1995,14.1,0.504,0.003,0.437,NA,NA,15,11.4,NA,NA,17.6,18.6,NA,1.4,1.8,3.2,0.076
1971-72,28,TOT,ABA,PF,86,2331,13.6,0.529,0.003,0.427,9.2,18,13.3,10.1,NA,NA,18.3,16.1,NA,2.3,3.3,5.7,0.116
1971-72,28,CAR,ABA,PF,41,1348,13.3,0.52,0.002,0.351,8.9,16.8,12.7,9.4,NA,NA,17.5,17.8,NA,1.2,1.4,2.6,0.094
1971-72,28,MMP,ABA,PF,45,983,13.9,0.546,0.004,0.574,9.5,19.8,14.3,11,NA,NA,19.7,13.8,NA,1.1,1.9,3,0.147
1972-73,29,MMT,ABA,SF,73,1895,13.5,0.562,0,0.456,7.6,19,13.2,10.1,NA,NA,17.7,14.8,NA,2.6,0.8,3.4,0.086
Career,NA,,ABA,,447,13090,15.4,0.533,0.004,0.482,8.5,18.4,14.1,9.8,NA,NA,17.4,17.4,NA,18.2,11.3,29.5,0.108
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"ANA,LAS",ABA,,178,5724,17.1,0.534,0.005,0.502,NA,NA,14.3,7.9,NA,NA,15.8,18.8,NA,10,4.1,14.1,0.118
2 seasons,NA,"MMP,MMT",ABA,,118,2878,13.7,0.557,0.001,0.494,8.3,19.2,13.6,10.4,NA,NA,18.4,14.5,NA,3.7,2.7,6.4,0.107
1 season,NA,FLO,ABA,,76,1995,14.1,0.504,0.003,0.437,NA,NA,15,11.4,NA,NA,17.6,18.6,NA,1.4,1.8,3.2,0.076
1 season,NA,CAR,ABA,,41,1348,13.3,0.52,0.002,0.351,8.9,16.8,12.7,9.4,NA,NA,17.5,17.8,NA,1.2,1.4,2.6,0.094
1 season,NA,PTP,ABA,,34,1145,16.3,0.558,0.007,0.618,NA,NA,15.1,15.5,NA,NA,23.9,15.8,NA,1.9,1.3,3.2,0.134
