Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
James Robinson,,2.3,1.9,1.2,0.2,0.2,0,-0.1
Tom Garrick,86.1,2.5,1.8,1.4,0.2,NA,NA,NA
Hollis Thompson,82.9,2.6,2,1.2,0.7,NA,NA,NA
Maurice McHartley,82.4,2.4,1.8,0.8,NA,NA,NA,NA
Tex Ritter,81.9,2.4,2.3,1,NA,NA,NA,NA
Caris LeVert,81.8,2.3,1.8,1.7,NA,NA,NA,NA
Tim Frazier,80.1,2.4,2,1.4,1,-0.1,NA,NA
Dick Garrett,78.7,2.4,2.3,1.6,0.1,-0.2,NA,NA
Jonathon Simmons,78.6,2,2,1.9,0.3,NA,NA,NA
Álex Abrines,78.2,2.2,2.1,0.6,NA,NA,NA,NA
Rodrigue Beaubois,78.1,2.2,2,0.4,0.2,NA,NA,NA
