Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Tommie Bowens,,1.2,1.1,0.5,NA,NA
Fred Saunders,88.4,1.3,1.2,0.5,0.1,NA
Bo Ellis,87.5,1.1,0.9,0.5,NA,NA
James Michael McAdoo,83.8,1.1,0.8,0.5,0,NA
Skal Labissière,82.6,1.4,1.3,0.3,NA,NA
Tom Workman,80.8,1.4,1.3,0.4,0.1,NA
Randolph Keys,78.6,1.2,1,0.3,0,-0.2
Steve Green,76.9,1.2,1.1,0.7,0.4,NA
Hank Whitney,76.1,1.8,1.1,0.5,NA,NA
Patrick McFarland,75.6,1.3,0.7,0.4,NA,NA
Mickaël Gelabale,72.6,1.5,1.3,0.2,NA,NA
