Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Dave Hoppen,,2.6,0.8,0.2,0,0,-0.1
Evan Eschmeyer,83.8,2.5,0.7,0.5,0.2,NA,NA
Deyonta Davis,81.0,2.7,0.5,0.4,NA,NA,NA
Sean Williams,78.6,2.5,0.4,0.3,-0.2,NA,NA
Michael Stewart,78.1,3,0.7,0.2,0.1,0.1,0.1
George Johnson,73.2,2.4,0.3,0.2,0.1,NA,NA
Chris Anstey,70.1,1.9,0.6,0.3,NA,NA,NA
Jack Haley,66.5,2.2,0.4,0.3,0.1,0,-0.3
Melvin Ely,65.5,2,0.8,0.4,0.3,0.1,-0.3
Gustavo Ayón,64.3,3.2,1.2,0.7,NA,NA,NA
Gene Conley,63.0,2.8,2.1,0.4,0,0,-0.1
