Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Dave Hoppen,,2.6,0.8,0.2,0,0,-0.1,NA,NA
Evan Eschmeyer,83.8,2.5,0.7,0.5,0.2,NA,NA,NA,NA
Deyonta Davis,81.0,2.7,0.5,0.4,NA,NA,NA,NA,NA
Sean Williams,78.6,2.5,0.4,0.3,-0.2,NA,NA,NA,NA
George Johnson,73.2,2.4,0.3,0.2,0.1,NA,NA,NA,NA
Michael Stewart,71.1,3,0.7,0.2,0.2,0.2,0.1,0.1,0.1
Chris Anstey,70.1,1.9,0.6,0.3,NA,NA,NA,NA,NA
Gustavo Ayón,64.3,3.2,1.2,0.7,NA,NA,NA,NA,NA
Gene Conley,63.0,2.8,2.1,0.4,0,0,-0.1,NA,NA
Justin Hamilton,62.6,2.1,1.5,0.1,NA,NA,NA,NA,NA
Zendon Hamilton,61.9,1.8,1.1,0.1,0.1,0,0,NA,NA
