Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Lou Amundson,,2.9,1.8,1,0.6,0.3,0.1,0.1,0.1,0.1,-0.1
George Lee,87.0,2.6,1.7,1.2,0.6,0.4,0.1,-0.1,NA,NA,NA
Lorenzo Williams,84.9,3.1,1.7,1.1,0.4,0.4,0.3,0.3,NA,NA,NA
Mark Strickland,84.7,2.8,2.2,1,0.6,0.5,0,0,0,NA,NA
Chris Crawford,82.3,2.7,1.3,0.9,0.6,0.6,0.2,0.1,NA,NA,NA
Sam Mack,82.3,2.8,1.9,1.3,1.1,0.3,0,-0.1,NA,NA,NA
Darko Miličić,82.0,3.3,1.9,1.2,0.7,0.2,0.2,0,-0.1,-0.2,-0.2
Stanislav Medvedenko,81.4,3,1.8,0.5,0.4,0.2,0.1,0,NA,NA,NA
Barney Cable,81.2,3.3,1.6,0.7,0.4,0.3,0.1,NA,NA,NA,NA
Brady Walker,81.0,2.8,1.9,1.2,1,NA,NA,NA,NA,NA,NA
Rory White,81.0,2.6,1.5,1,1,0.4,NA,NA,NA,NA,NA
