Season,Team,Lg,Salary
2006-07,Philadelphia 76ers,NBA,"$105,696"
2006-07,Sacramento Kings,NBA,"$75,000"
2006-07,Utah Jazz,NBA,"$35,232"
2007-08,Philadelphia 76ers,NBA,"$687,456"
2008-09,Phoenix Suns,NBA,"$797,581"
2009-10,Phoenix Suns,NBA,"$855,189"
2010-11,Golden State Warriors,NBA,"$2,225,000"
2011-12,Indiana Pacers,NBA,"$2,403,000"
2012-13,Minnesota Timberwolves,NBA,"$1,069,509"
2014-15,New York Knicks,NBA,"$409,167"
2015-16,New York Knicks,NBA,"$1,650,000"
2016-17,New York Knicks,NBA,"$1,551,659"
Career,(may be incomplete),,"$11,864,489"
