Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
A.J. Price,,2.2,1.2,0.7,0.3,0.3,0
Mike Holton,87.6,2.3,1.3,0.8,0.3,0.2,-0.2
Courtney Alexander,85.8,2.2,1.1,0.8,NA,NA,NA
Anthony Johnson,84.7,1.8,1.1,0.7,0.4,0.3,-0.2
Mike Davis,83.9,2.2,1.2,0.9,0.6,NA,NA
Ian Clark,83.3,2.3,1.1,0.9,0.2,-0.1,-0.1
Mo Layton,79.8,1.9,1.1,1,0.3,0.1,NA
Kevin O'Shea,78.4,2.1,1.2,0.5,NA,NA,NA
David Nwaba,78.2,2.4,1.4,0.8,NA,NA,NA
Chris Douglas-Roberts,78.0,2.4,1.6,0.7,0.6,0.1,0
Dion Glover,77.8,2.6,1.1,0.9,0.8,0.3,0.2
