Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Maurice Stokes,,6,5.5,4.5,NA,NA,NA,NA
Dino Rađa,88.5,5.9,4.5,4,-0.2,NA,NA,NA
Bob Lavoy,84.4,5.8,5.8,3.4,1,NA,NA,NA
Jack Kerris,84.3,5.9,5.7,4.1,2.1,NA,NA,NA
George Stone,82.9,4.6,4.6,4.5,0.2,NA,NA,NA
Stan McKenzie,79.8,6.1,5.3,2.4,0.6,0.2,0.1,-0.1
Bones McKinney,79.8,7.1,4.9,3.3,0.2,0,-0.2,NA
Willie Murrell,78.7,7,4.6,3.1,NA,NA,NA,NA
Bud Palmer,78.7,7.4,7.2,3.9,NA,NA,NA,NA
Julius Randle,78.4,6.6,6.1,3.5,1.6,-0.1,NA,NA
Larry Nance,77.1,5.8,4.9,3.5,2.2,NA,NA,NA
