Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Maurice Stokes,,6,5.5,4.5
Lonnie Shelton,96.4,5.9,5.1,4.6
Vin Baker,96.2,6.2,5.8,4.4
Jack Kerris,95.4,5.9,5.7,4.1
Shane Battier,94.8,6.2,5.9,4.8
Mitch Kupchak,94.6,5.9,5.9,4.9
Goo Kennedy,94.2,5.7,5,4.5
Scott Wedman,93.7,6,4.9,4.8
Christian Laettner,92.9,6.2,5,4.1
Jack Coleman,92.8,6.5,5,4.3
M.L. Carr,92.6,5.9,4.5,4.5
