Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Andrew Nicholson,,1.7,1.6,0.6,0.1,-0.1
Jan Veselý,92.3,1.7,1.6,0.7,NA,NA
Charles Pittman,87.9,1.7,1.5,0.9,0.1,NA
Dominic McGuire,83.8,1.7,1.5,0.9,0,-0.2
Kris Humphries,83.7,1.8,1.5,0.7,0.2,-0.3
Tony Brown,81.4,1.8,1.3,0.5,0.2,0
Brian Scalabrine,80.2,1.7,1.4,1,0.3,-0.1
Donnell Harvey,79.4,2,1.8,0.7,0.2,0.1
Jonathan Bender,78.4,2,1.7,0.5,-0.1,-0.2
Solomon Jones,78.0,1.9,1.6,0.8,0.5,0
Sam Pellom,77.7,2.2,1.8,0.7,0,NA
