Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Foots Walker,,6.1,5.2,4.2,3.4,3.4,3,2.3,1.5,1.5,0.3
Raymond Felton,91.4,6.5,5.4,4.3,4.2,3.4,2.6,2.3,2.2,1.7,0.2
Gerald Henderson,90.8,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.1
Derek Fisher,89.8,5.8,5.5,5.2,3.8,3.7,3.1,2.4,1.8,1.7,1.1
Travis Best,89.6,7.2,5.1,4.1,3.4,3.3,2.5,2.1,1.8,0.7,0.7
John Long,89.5,5.3,4.7,3.9,3.6,3.6,3.3,2.4,2.1,2,0.2
Brandon Jennings,88.5,5.8,5.5,4.2,3.9,3.9,3.3,1.7,1.5,0.1,NA
Adrian Smith,88.5,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8,0.8,0.5
Charlie Ward,88.3,7.1,5.5,3.9,3.7,3.6,3.1,2.9,1.9,1,-0.2
Bonzi Wells,87.9,6,5.9,4,3.4,3.1,3.1,3,0.9,0.1,-0.1
Guy Rodgers,87.7,6.2,4.8,4.3,4,2.8,2.5,2.4,2.3,2.1,-0.2
