Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Álex Abrines,,2.2,2.1,0.6,NA,NA,NA,NA
Maurice McHartley,88.8,2.4,1.8,0.8,NA,NA,NA,NA
Rodrigue Beaubois,87.3,2.2,2,0.4,0.2,NA,NA,NA
Tex Ritter,87.0,2.4,2.3,1,NA,NA,NA,NA
Chris Quinn,84.4,2.6,2.1,0.6,0.1,0.1,-0.2,NA
Rodney McGruder,80.5,2.9,1.9,0.8,NA,NA,NA,NA
Kenny Higgs,80.1,2.2,1.5,1,NA,NA,NA,NA
Travis Diener,79.9,2.5,1.9,0.7,0.6,0,NA,NA
David Nwaba,79.1,2.4,1.4,0.8,NA,NA,NA,NA
James Robinson,78.2,2.3,1.9,1.2,0.2,0.2,0,-0.1
Steve Bracey,77.1,2.1,1.5,0.3,NA,NA,NA,NA
