Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Dirk Minniefield,,1.9,1.1,1.1,NA,NA
Steven Kramer,96.9,1.9,1.2,1.1,NA,NA
Mo Layton,89.8,1.9,1.1,1,0.3,0.1
Corky Devlin,89.2,1.8,1.2,0.8,NA,NA
Courtney Alexander,86.5,2.2,1.1,0.8,NA,NA
Justin Anderson,86.3,1.9,1.2,1.1,0.4,NA
Kenny Higgs,84.1,2.2,1.5,1,NA,NA
Johnny High,81.8,2.5,1.2,1.1,-0.1,NA
Kirk Snyder,81.8,2.2,1.4,1.1,-0.2,NA
Donnie Butcher,81.2,1.9,1.2,1.1,0.5,-0.3
Chink Crossin,81.2,2.1,1.2,0.5,NA,NA
