Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Tom Tolbert,,2.7,2.5,1.3,0.1,0,0,0
Renaldo Balkman,93.0,2.8,2.6,1.3,0.3,0.1,0,NA
Tyrone Nesby,86.4,3.1,2.9,1.3,0.3,NA,NA,NA
Kenny Williams,85.4,2.7,2.4,1.6,0.7,NA,NA,NA
Bruce Seals,82.6,2.9,2.4,1.6,0.6,0.3,NA,NA
Bob Bedell,81.0,2.4,2.2,0.8,0.1,NA,NA,NA
Arnie Ferrin,80.4,2.6,2.6,2.4,NA,NA,NA,NA
Cal Christensen,79.8,3.2,2.9,1.7,0.4,0,NA,NA
Mike Farmer,79.0,3.2,1.8,1.3,0.1,0.1,-0.1,-0.1
Willie Long,79.0,3.5,2.1,1.2,NA,NA,NA,NA
Justise Winslow,79.0,2.8,2.6,2.5,-0.1,NA,NA,NA
