Thru 13 Years,Thru 13 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
World B. Free,,10.1,8,7.4,6.9,6.1,6,6,5.7,5.3,4.6,1.5,0.4,-0.2
Richie Guerin,90.7,12.1,8.4,7.4,7.2,6.3,5.7,5.7,5.4,4.7,3.5,1.7,1.2,-0.1
Gail Goodrich,90.0,12.3,8.1,7.8,6.7,6.4,6.3,6.3,5.5,5.1,4.4,3.6,1.2,0.7
Rolando Blackman,89.7,9.8,8,7.3,7,6.8,6.8,5.7,5.7,5.5,4.1,3.8,2.9,2.4
Billy Knight,89.4,10.7,8.4,8.3,7.1,6,5.8,5.8,4.3,3.7,3.4,0.4,NA,NA
Mike Bibby,88.8,9.3,8.5,8.4,6.9,6.3,5.6,5.6,5.3,4.8,4.4,4,2.1,1.3
Mike Conley,88.4,10,9.9,8.2,8,6.8,6.6,6.4,5.3,4.5,4,1.1,0.6,NA
Louie Dampier,88.0,10.1,9.5,8.5,8.1,7.4,7.2,6,5.4,5,4,1.6,1.2,NA
Danny Ainge,87.9,8.6,6.8,6.7,6.7,6.6,6.2,6.2,5.2,5.2,4.8,2.8,1.8,0.5
George Hill,87.9,9.7,7.8,6.7,6.2,6.1,5.9,5.4,4,3.2,2.8,2.1,NA,NA
Byron Scott,87.9,10.7,7.7,6.9,6.8,6.6,6,6,5.2,3.9,3.3,3.1,2.7,2.3
