Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jeffery Taylor,,1.2,0.3,-0.2,NA,NA
Žarko Čabarkapa,81.9,1.3,0.3,-0.4,NA,NA
Glenn McDonald,81.0,1.1,0.2,-0.2,NA,NA
Roy Rogers,76.0,1.4,0.4,-0.1,NA,NA
C.J. Kupec,70.3,1.5,0.5,-0.2,NA,NA
Stephen Howard,66.3,1.3,0.2,0.1,0,NA
Kenny Dennard,66.0,1.1,0.3,0.1,NA,NA
Winston Bennett,65.2,1.1,0.3,0.2,NA,NA
Jim Tucker,64.6,1,0.3,0,NA,NA
Walter Piatkowski,64.1,1.2,0.8,-0.2,NA,NA
Dwayne Jones,63.1,1.2,0.1,0.1,0,0
