Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
McCoy McLemore,,2.7,2.1,1.8,1.7,0.7,0.4,0.4,-0.3
Tony Massenburg,90.0,2.8,2.2,1.8,1.7,1.3,0.4,0.2,-0.1
Jarvis Hayes,89.2,2.9,2.1,1.7,1.5,0.8,0.7,0.5,NA
Mark Acres,87.8,2.5,2.2,1.9,1.6,0.9,0.3,NA,NA
Willie Burton,87.4,2.6,2.1,2,1.6,0.5,0.2,0.1,-0.1
Tom Hammonds,86.0,2.6,2.2,1.8,1.7,0.8,0.8,0.6,0.5
Damien Wilkins,83.6,2.8,1.9,1.7,1.5,1,1,0.4,0
Wesley Johnson,82.4,2.6,1.9,1.7,1.7,1.3,0.9,0.6,0
Steve Kuberski,81.0,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2
David Wood,80.7,2.8,2.3,2.2,1.3,1,0.5,0,NA
Shellie McMillon,80.5,2.5,2.2,1.7,1.7,NA,NA,NA,NA
