Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Harold Ellis,,2.8,0.9,0.9,NA,NA,NA,NA
Ralph Johnson,81.7,2.9,1.6,0.8,0,NA,NA,NA
Johnny High,79.9,2.5,1.2,1.1,-0.1,NA,NA,NA
David Nwaba,78.8,2.4,1.4,0.8,NA,NA,NA,NA
Courtney Alexander,78.5,2.2,1.1,0.8,NA,NA,NA,NA
Ian Clark,77.0,2.3,1.1,0.9,0.2,-0.1,-0.1,NA
Rodney McGruder,76.4,2.9,1.9,0.8,NA,NA,NA,NA
Glenn Robinson,76.2,2.5,0.8,0.7,0.6,0.1,NA,NA
Robert Smith,75.0,2.9,1.4,0.8,0.6,0,0,0
Angelo Musi,73.5,3.5,1.3,1.1,NA,NA,NA,NA
Franklin Edwards,73.1,2.7,0.8,0.6,0.2,0.1,-0.2,-0.3
