Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Dante Exum,,1.2,1,0.7,-0.1
Chris Smith,83.2,1.2,1.1,0.9,NA
Patty Mills,81.8,1.5,0.9,0.7,0
Steve Harris,81.5,1.3,1.2,0.8,0
Norris Cole,81.0,1.4,1.2,0.6,0
Tommy Kron,80.7,1.3,0.8,0.8,-0.3
Ernie DiGregorio,80.5,1.3,1.2,0.6,0.1
Richie Frahm,79.3,1.5,1,0.5,-0.2
Steve Alford,77.2,1.4,0.9,0.6,0.3
Reggie Jordan,75.8,1.2,0.8,0.6,0.4
Howard Komives,75.7,1.5,1,0.7,0.3
